review_id,review,full_review,rating,brands,products,product_types,sentiment,confidence,positive_score,negative_score,textblob_polarity
1,I absolutely love my new Apple iPhone 14 Pro! The ...,I absolutely love my new Apple iPhone 14 Pro! The camera quality is amazing and the battery lasts all day. Best purchase ever!,5,['Apple'],['iPhone 14 Pro'],"['phone', 'camera']",Positive,1.0,4.5,0.0,0.5676136363636364
2,The Samsung Galaxy S23 is decent but overpriced. T...,The Samsung Galaxy S23 is decent but overpriced. The screen is beautiful but battery life could be better.,3,['Samsung'],['Galaxy S23'],[],Neutral,0.5,1.0,1.0,0.5055555555555555
3,Terrible experience with the Sony WH-1000XM5 headp...,Terrible experience with the Sony WH-1000XM5 headphones. Sound quality is poor and they broke after a week. Would not recommend.,1,['Sony'],['WH-1000XM5'],"['phone', 'headphones']",Negative,0.96,1.0,4.0,-0.3333333333333333
4,The Nike Air Max 270 sneakers are incredibly comfo...,The Nike Air Max 270 sneakers are incredibly comfortable! Perfect for running and everyday wear. Highly recommend!,5,['Nike'],['Air Max 270'],['sneakers'],Positive,1.0,5.0,0.0,0.375
5,Amazon Echo Dot 5th Gen is a fantastic smart speak...,Amazon Echo Dot 5th Gen is a fantastic smart speaker. Alexa responds quickly and the sound quality is great for the price.,5,['Amazon'],"['Echo Dot 5th Gen', 'Alexa']",['speaker'],Positive,1.0,3.0,0.0,0.4295238095238096
6,The Dell XPS 13 laptop is okay. Good build quality...,The Dell XPS 13 laptop is okay. Good build quality but the keyboard feels cramped. Not worth the premium price.,3,['Dell'],['XPS 13'],"['keyboard', 'laptop']",Neutral,0.5,2.0,2.0,0.35000000000000003
7,Absolutely disappointed with the Google Pixel 7. C...,Absolutely disappointed with the Google Pixel 7. Camera crashes frequently and battery drains too fast. Poor quality control.,2,['Google'],['Pixel 7'],['camera'],Negative,0.7999999999999999,2.5,5.0,-0.21250000000000002
8,The Bose QuietComfort 45 headphones are phenomenal...,The Bose QuietComfort 45 headphones are phenomenal! Noise cancellation is the best I've experienced. Worth every penny!,5,['Bose'],['QuietComfort 45'],"['phone', 'headphones']",Positive,1.0,3.0,0.0,0.7
9,Canon EOS R6 is an excellent camera for profession...,Canon EOS R6 is an excellent camera for professionals. Image quality is outstanding and autofocus is lightning fast.,5,['Canon'],['EOS R6'],['camera'],Positive,1.0,4.0,0.0,0.5666666666666667
10,The Microsoft Surface Pro 9 is underwhelming. Scre...,The Microsoft Surface Pro 9 is underwhelming. Screen is nice but performance lags and it gets hot quickly. Expected better.,2,['Microsoft'],['Surface Pro 9'],[],Negative,0.6666666666666666,1.0,2.0,0.3125
11,Love the Adidas Ultraboost 22 running shoes! Super...,Love the Adidas Ultraboost 22 running shoes! Super comfortable and stylish. Great for marathon training.,5,['Adidas'],['Ultraboost 22'],['shoes'],Positive,1.0,4.5,0.0,0.5316666666666666
12,The LG OLED TV delivers stunning picture quality. ...,The LG OLED TV delivers stunning picture quality. Netflix and gaming look incredible. A bit expensive but worth it.,5,['LG'],['OLED TV'],['tv'],Positive,0.96,4.0,1.0,0.3
